descriptor,sequence,geom_noise,ima,imb,ap,auc,sr
DOAP-HP-ST-LM-a,i_books,easy,0,4,0.862912748036903,0.862864193497271,0.886075949367089
DOAP-HP-ST-LM-a,i_books,easy,0,5,0.813389568578342,0.813304137155917,0.848101265822785
DOAP-HP-ST-LM-a,i_bridger,easy,0,1,0.80165062637011,0.801640579236225,0.821986888552698
DOAP-HP-ST-LM-a,i_bridger,easy,0,2,0.658974697511466,0.658952454700491,0.695410993444276
DOAP-HP-ST-LM-a,i_bridger,easy,0,3,0.722389588184978,0.722371804023674,0.75542107917297
DOAP-HP-ST-LM-a,i_bridger,easy,0,4,0.453603971307696,0.453537763122589,0.521432173474534
DOAP-HP-ST-LM-a,i_bridger,easy,0,5,0.0600984384880813,0.0599603524381658,0.122541603630862
DOAP-HP-ST-LM-a,i_whitebuilding,easy,0,1,0.951099830446757,0.951086734420359,0.971282051282051
DOAP-HP-ST-LM-a,i_whitebuilding,easy,0,2,0.912182267532676,0.912164984430614,0.943076923076923
DOAP-HP-ST-LM-a,i_whitebuilding,easy,0,3,0.770606568437936,0.77053942591783,0.846153846153846
DOAP-HP-ST-LM-a,i_whitebuilding,easy,0,4,0.783759485953612,0.783686317802062,0.870769230769231
DOAP-HP-ST-LM-a,i_whitebuilding,easy,0,5,0.769311525584339,0.769234441570647,0.861025641025641
DOAP-HP-ST-LM-a,i_kurhaus,easy,0,1,0.864996947331608,0.864995710079305,0.869172932330827
DOAP-HP-ST-LM-a,i_kurhaus,easy,0,2,0.753527626261062,0.753523777014555,0.764912280701754
DOAP-HP-ST-LM-a,i_kurhaus,easy,0,3,0.690826976661568,0.69082102105044,0.708270676691729
DOAP-HP-ST-LM-a,i_kurhaus,easy,0,4,0.618152185443209,0.61814118891072,0.646616541353383
DOAP-HP-ST-LM-a,i_kurhaus,easy,0,5,0.540368390388629,0.540354134305322,0.575438596491228
DOAP-HP-ST-LM-a,i_salon,easy,0,1,0.86647586153221,0.866441988535329,0.898366606170599
DOAP-HP-ST-LM-a,i_salon,easy,0,2,0.693876641833645,0.693778919264727,0.761343012704174
DOAP-HP-ST-LM-a,i_salon,easy,0,3,0.538621766994676,0.538516797708654,0.623411978221416
DOAP-HP-ST-LM-a,i_salon,easy,0,4,0.750324468301627,0.750127421667231,0.810344827586207
DOAP-HP-ST-LM-a,i_salon,easy,0,5,0.618308177223214,0.61813942465716,0.707803992740472
DOAP-HP-ST-LM-a,i_autannes,easy,0,1,0.889829637433329,0.889808035304508,0.914757103574702
DOAP-HP-ST-LM-a,i_autannes,easy,0,2,0.80512235520343,0.805086761616614,0.842346471127406
DOAP-HP-ST-LM-a,i_autannes,easy,0,3,0.385630809780547,0.3855208542865,0.482126489459212
DOAP-HP-ST-LM-a,i_autannes,easy,0,4,0.432855640665966,0.432772682074261,0.513290559120073
DOAP-HP-ST-LM-a,i_autannes,easy,0,5,0.691805477875905,0.691707747957713,0.767186067827681
DOAP-HP-ST-LM-a,i_tools,easy,0,1,0.0836324585627797,0.0827499842338729,0.226546906187625
DOAP-HP-ST-LM-a,i_tools,easy,0,2,0.390670304475672,0.390458971687505,0.530938123752495
DOAP-HP-ST-LM-a,i_tools,easy,0,3,0.155790350011845,0.155511137493858,0.295409181636727
DOAP-HP-ST-LM-a,i_tools,easy,0,4,0.4177329322041,0.417584934001483,0.515968063872255
DOAP-HP-ST-LM-a,i_tools,easy,0,5,0.0645933260289292,0.0643060517802886,0.156686626746507
DOAP-HP-ST-LM-a,i_santuario,easy,0,1,0.706517289729829,0.706499787135808,0.73859649122807
DOAP-HP-ST-LM-a,i_santuario,easy,0,2,0.65729070930706,0.657259125762484,0.707017543859649
DOAP-HP-ST-LM-a,i_santuario,easy,0,3,0.507234332672146,0.507180686100671,0.578947368421053
DOAP-HP-ST-LM-a,i_santuario,easy,0,4,0.750875915000557,0.750852280339239,0.781286549707602
DOAP-HP-ST-LM-a,i_santuario,easy,0,5,0.554279458213882,0.554198823078491,0.615204678362573
DOAP-HP-ST-LM-a,i_fog,easy,0,1,0.883281481598394,0.883278585850579,0.887052341597796
DOAP-HP-ST-LM-a,i_fog,easy,0,2,0.688353198213044,0.688334560429745,0.709366391184573
DOAP-HP-ST-LM-a,i_fog,easy,0,3,0.615586099250311,0.615554720148537,0.647382920110193
DOAP-HP-ST-LM-a,i_fog,easy,0,4,0.429888341195879,0.429860688849085,0.455922865013774
